unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1579305600,1/18/2020 0:00,XRP/USD,0.238,0.25401,0.23159,0.24297,47362863.31,11507754.9
1579219200,1/17/2020 0:00,XRP/USD,0.22908,0.24433,0.22616,0.23899,73941943.86,17671385.16
1579132800,1/16/2020 0:00,XRP/USD,0.23377,0.23473,0.22212,0.22878,66731393.74,15266808.26
1579046400,1/15/2020 0:00,XRP/USD,0.2346,0.2433,0.22608,0.23314,70750768.7,16494834.22
1578960000,1/14/2020 0:00,XRP/USD,0.21146,0.2454,0.21113,0.23506,85587090.48,20118101.49
1578873600,1/13/2020 0:00,XRP/USD,0.21528,0.21528,0.20963,0.21118,41487822.45,8761398.345
1578787200,1/12/2020 0:00,XRP/USD,0.21147,0.21704,0.2095,0.21487,20881828.53,4486878.497
1578700800,1/11/2020 0:00,XRP/USD,0.21256,0.21987,0.20835,0.2113,43567343.2,9205779.619
1578614400,1/10/2020 0:00,XRP/USD,0.20384,0.213,0.19979,0.21262,56386532.62,11988904.57
1578528000,1/9/2020 0:00,XRP/USD,0.20751,0.20859,0.20097,0.2035,50455632.1,10267721.13
1578441600,1/8/2020 0:00,XRP/USD,0.21376,0.21882,0.20298,0.20743,56733875.82,11768307.86
1578355200,1/7/2020 0:00,XRP/USD,0.2234,0.2256,0.20703,0.21393,65477456.19,14007592.2
1578268800,1/6/2020 0:00,XRP/USD,0.19414,0.22391,0.19391,0.2234,70196144.86,15681818.76
1578182400,1/5/2020 0:00,XRP/USD,0.19308,0.19736,0.19259,0.19453,24723525.55,4809467.425
1578096000,1/4/2020 0:00,XRP/USD,0.19332,0.19355,0.19021,0.19261,26697730.69,5142249.908
1578009600,1/3/2020 0:00,XRP/USD,0.18688,0.19391,0.184,0.1931,54955918.24,10611987.81
1577923200,1/2/2020 0:00,XRP/USD,0.19213,0.1924,0.1847,0.187,37935984.18,7094029.042
1577836800,1/1/2020 0:00,XRP/USD,0.19201,0.19471,0.19143,0.1925,6357233.56,1223767.46
1577750400,12/31/2019 0:00,XRP/USD,0.19264,0.19364,0.18915,0.1925,17766452.38,3420042.083
1577664000,12/30/2019 0:00,XRP/USD,0.19582,0.19784,0.19129,0.19246,41423884.42,7972440.795
1577577600,12/29/2019 0:00,XRP/USD,0.19252,0.1982,0.1905,0.19635,21828701.79,4286065.597
1577491200,12/28/2019 0:00,XRP/USD,0.18967,0.19459,0.18944,0.19258,23561376.32,4537449.852
1577404800,12/27/2019 0:00,XRP/USD,0.18894,0.19031,0.18414,0.18976,42648967.8,8093068.13
1577318400,12/26/2019 0:00,XRP/USD,0.18817,0.19405,0.18701,0.1889,33883561.73,6400604.811
1577232000,12/25/2019 0:00,XRP/USD,0.19054,0.19176,0.18613,0.18821,16216501.03,3052107.659
1577145600,12/24/2019 0:00,XRP/USD,0.18945,0.19396,0.18723,0.19035,65059712.22,12384116.22
1577059200,12/23/2019 0:00,XRP/USD,0.19701,0.19886,0.18827,0.1896,23301595.84,4417982.571
1576972800,12/22/2019 0:00,XRP/USD,0.1913,0.19722,0.19048,0.197,24058402.92,4739505.374
1576886400,12/21/2019 0:00,XRP/USD,0.19506,0.19648,0.19003,0.19137,28243997.71,5405053.842
1576800000,12/20/2019 0:00,XRP/USD,0.18768,0.1981,0.18339,0.19487,57191101.53,11144829.95
1576713600,12/19/2019 0:00,XRP/USD,0.19638,0.19749,0.18436,0.18763,55076056.26,10333920.44
1576627200,12/18/2019 0:00,XRP/USD,0.18314,0.20101,0.17468,0.19578,80830683.81,15825031.28
1576540800,12/17/2019 0:00,XRP/USD,0.2053,0.2053,0.17826,0.18271,76292946.94,13939484.34
1576454400,12/16/2019 0:00,XRP/USD,0.21699,0.21736,0.202,0.20518,52382966.71,10747937.11
1576368000,12/15/2019 0:00,XRP/USD,0.21612,0.21927,0.21424,0.217,22718839.34,4929988.138
1576281600,12/14/2019 0:00,XRP/USD,0.22019,0.22087,0.21446,0.21606,25750712.5,5563698.942
1576195200,12/13/2019 0:00,XRP/USD,0.21839,0.22094,0.21463,0.22022,35285975.89,7770677.611
1576108800,12/12/2019 0:00,XRP/USD,0.22073,0.22286,0.2133,0.21824,38362328.1,8372194.485
1576022400,12/11/2019 0:00,XRP/USD,0.22229,0.22378,0.21969,0.22073,28911286.81,6381588.337
1575936000,12/10/2019 0:00,XRP/USD,0.22422,0.2253,0.21879,0.22229,34154814.43,7592273.699
1575849600,12/9/2019 0:00,XRP/USD,0.22934,0.23098,0.2209,0.22417,33474294.41,7503932.577
1575763200,12/8/2019 0:00,XRP/USD,0.22752,0.2327,0.22395,0.22928,26181284.42,6002844.892
1575676800,12/7/2019 0:00,XRP/USD,0.22565,0.22866,0.22309,0.22733,15721056.67,3573867.812
1575590400,12/6/2019 0:00,XRP/USD,0.2213,0.22741,0.219,0.22563,32478720.83,7328173.781
1575504000,12/5/2019 0:00,XRP/USD,0.21415,0.22667,0.21197,0.22148,39050721.63,8648953.826
1575417600,12/4/2019 0:00,XRP/USD,0.21945,0.22569,0.20946,0.21423,42727493.36,9153510.903
1575331200,12/3/2019 0:00,XRP/USD,0.21941,0.2225,0.21788,0.21941,28836492.25,6327014.764
1575244800,12/2/2019 0:00,XRP/USD,0.22531,0.22661,0.21736,0.21927,43335155.05,9502099.447
1575158400,12/1/2019 0:00,XRP/USD,0.22589,0.226,0.21877,0.22502,21495585.38,4836936.622
1575072000,11/30/2019 0:00,XRP/USD,0.23017,0.23234,0.22383,0.22572,25540583.08,5765020.414
1574985600,11/29/2019 0:00,XRP/USD,0.22289,0.2326,0.22286,0.23036,32389797.16,7461313.674
1574899200,11/28/2019 0:00,XRP/USD,0.22456,0.23,0.2225,0.22337,27859316.64,6222935.557
1574812800,11/27/2019 0:00,XRP/USD,0.22097,0.2301,0.21265,0.22437,61947814.23,13899231.08
